id,name,dynasty,poem_count,cbdb_id,gis_x,gis_y,primary_addr,rel_師承,rel_詩社,rel_文風效法,rel_其他
0,诗经,周,305,,,,,,,,
1,王褒,周,134,,,,,,,,
2,屈原,周,52,,,,,,,,
3,刘向,周,21,,,,,,,,
4,王逸,周,20,,,,,,,,
5,孔子弟子及再传弟子,周,20,,,,,,,,
6,宋玉,周,4,,,,,,,,
7,贾谊,周,2,,,,,,,,
8,淮南小山,周,2,,,,,,,,
9,庄忌,周,2,,,,,,,,
10,景差,周,1,,,,,,,,
11,伯夷,周,1,,,,,,,,
12,荆轲,周,1,,,,,,,,
13,南海五仙人,周,1,,,,,,,,
14,曹植,汉,268,,,,,,,,
15,两汉乐府,汉,106,,,,,,,,
16,曹操,汉,50,30257,112.38263,34.665276,洛陽,,,,
17,东方朔,汉,19,,,,,,,,
18,[汉]古诗十九首,汉,19,,,,,,,,
19,李尤,汉,16,,,,,,,,
20,蔡邕,汉,12,135023,,,,,,,
21,班固,汉,12,135114,,,,,,,
22,秦嘉,汉,12,135096,,,,,,,
23,杨孚,汉,12,,,,,,,,
24,崔骃,汉,10,31252,115.510575,38.230526,安平,,,,
25,孔融,汉,7,,,,,,,,
26,刘彻,汉,7,16626,108.906976,34.246423,長安,,,,
27,蔡琰,汉,5,,,,,,,,
28,薛综,汉,5,,,,,,,,
29,司马相如,汉,4,135327,,,,,,,
30,汉伦,汉,4,,,,,,,,
31,唐菆,汉,4,,,,,,,,
32,仲长统,汉,4,,,,,,,,
33,梁鸿,汉,3,,,,,,,,
34,刘去,汉,3,,,,,,,,
35,傅毅,汉,3,,,,,,,,
36,郦炎,汉,3,,,,,,,,
37,刘邦,汉,2,16622,108.906976,34.246423,長安,,,,
38,赵壹,汉,2,,,,,,,,
39,四皓,汉,2,,,,,,,,
40,韦孟,汉,2,22261,117.187683,34.269634,彭城,,,,
41,刘弗陵,汉,2,16627,108.906976,34.246423,長安,,,,
42,韦玄成,汉,2,,,,,,,,
43,侯瑾,汉,2,,,,,,,,
44,作者未详,汉,1,,,,,,,,
45,班婕妤,汉,1,,,,,,,,
46,王嫱,汉,1,135318,,,,,,,
47,刘细君,汉,1,135005,,,,,,,
48,朱穆,汉,1,,,,,,,,
49,宋子侯,汉,1,,,,,,,,
50,李延年,汉,1,,,,,,,,
51,辛延年,汉,1,,,,,,,,
52,项羽,汉,1,,,,,,,,
53,虞姬,汉,1,,,,,,,,
54,汉老,汉,1,,,,,,,,
55,汉臣,汉,1,,,,,,,,
56,戚夫人,汉,1,134987,,,,,,,
57,刘友,汉,1,,,,,,,,
58,枚乘,汉,1,,,,,,,,
59,刘安,汉,1,,,,,,,,
60,商丘成,汉,1,,,,,,,,
61,华容夫人,汉,1,134999,,,,,,,
62,李陵,汉,1,15904,,,,,,,
63,刘胥,汉,1,,,,,,,,
64,杨恽,汉,1,,,,,,,,
65,息夫躬,汉,1,,,,,,,,
