id,name,dynasty,poem_count
0,诗经,周,305
1,王褒,周,134
2,屈原,周,52
3,刘向,周,21
4,王逸,周,20
5,孔子弟子及再传弟子,周,20
6,宋玉,周,4
7,贾谊,周,2
8,淮南小山,周,2
9,庄忌,周,2
10,景差,周,1
11,伯夷,周,1
12,荆轲,周,1
13,南海五仙人,周,1
14,曹植,汉,268
15,两汉乐府,汉,106
16,曹操,汉,50
17,东方朔,汉,19
18,[汉]古诗十九首,汉,19
19,李尤,汉,16
20,蔡邕,汉,12
21,班固,汉,12
22,秦嘉,汉,12
23,杨孚,汉,12
24,崔骃,汉,10
25,孔融,汉,7
26,刘彻,汉,7
27,蔡琰,汉,5
28,薛综,汉,5
29,司马相如,汉,4
30,汉伦,汉,4
31,唐菆,汉,4
32,仲长统,汉,4
33,梁鸿,汉,3
34,刘去,汉,3
35,傅毅,汉,3
36,郦炎,汉,3
37,刘邦,汉,2
38,赵壹,汉,2
39,四皓,汉,2
40,韦孟,汉,2
41,刘弗陵,汉,2
42,韦玄成,汉,2
43,侯瑾,汉,2
44,作者未详,汉,1
45,班婕妤,汉,1
46,王嫱,汉,1
47,刘细君,汉,1
48,朱穆,汉,1
49,宋子侯,汉,1
50,李延年,汉,1
51,辛延年,汉,1
52,项羽,汉,1
53,虞姬,汉,1
54,汉老,汉,1
55,汉臣,汉,1
56,戚夫人,汉,1
57,刘友,汉,1
58,枚乘,汉,1
59,刘安,汉,1
60,商丘成,汉,1
61,华容夫人,汉,1
62,李陵,汉,1
63,刘胥,汉,1
64,杨恽,汉,1
65,息夫躬,汉,1
66,马援,汉,1
67,杜笃,汉,1
68,刘苍,汉,1
69,刘騊駼,汉,1
70,石勋,汉,1
71,桓麟,汉,1
72,应季先,汉,1
73,仇靖,汉,1
74,刘辩,汉,1
75,唐姬,汉,1
76,赵岐,汉,1
77,郭苍,汉,1
78,高彪,汉,1
79,陶潜,晋,146
80,陶渊明,晋,138
81,傅玄,晋,130
82,陆机,晋,127
83,谢灵运,晋,114
84,阮籍,晋,101
85,郭璞,晋,62
86,曹丕,晋,60
87,张华,晋,58
88,嵇康,晋,53
89,陆云,晋,50
90,应璩,晋,38
91,王粲,晋,35
92,卢谌,晋,32
93,潘尼,晋,32
94,潘岳,晋,29
95,云林右英夫人,晋,29
96,刘桢,晋,28
97,杨羲,晋,26
98,庾阐,晋,24
99,曹毗,晋,23
100,支遁,晋,22
101,傅咸,晋,21
102,曹睿,晋,19
103,左思,晋,18
104,紫微王夫人,晋,18
105,湛方生,晋,17
106,张协,晋,16
107,阮瑀,晋,15
108,曹摅,晋,15
109,李颙,晋,13
110,张翼,晋,13
111,张翰,晋,13
112,徐干,晋,12
113,孙绰,晋,12
114,石崇,晋,10
115,司马彪,晋,10
116,夏侯湛,晋,10
117,王赞,晋,9
118,成公绥,晋,9
119,棘据,晋,9
120,郑丰,晋,9
121,王嘉,晋,9
122,孙楚,晋,8
