id,name,dynasty,poem_count,is_merged
0,诗经,周,305,False
1,王褒,周,134,False
2,屈原,周,52,False
3,刘向,周,21,False
4,王逸,周,20,False
5,孔子弟子及再传弟子,周,20,False
6,宋玉,周,4,False
7,贾谊,周,2,False
8,淮南小山,周,2,False
9,庄忌,周,2,False
11,伯夷,周,1,False
12,荆轲,周,1,False
13,南海五仙人,周,1,False
14,曹植,汉,268,False
15,两汉乐府,汉,106,False
16,曹操,汉,50,False
17,东方朔,汉,19,False
18,[汉]古诗十九首,汉,19,False
19,李尤,汉,16,False
20,蔡邕,汉,12,False
21,班固,汉,12,False
22,秦嘉,汉,12,False
23,杨孚,汉,12,False
24,崔骃,汉,10,False
25,孔融,汉,7,False
26,刘彻,汉,7,False
27,蔡琰,汉,5,False
28,薛综,汉,5,False
29,司马相如,汉,4,False
30,汉伦,汉,4,False
31,唐菆,汉,4,False
32,仲长统,汉,4,False
33,梁鸿,汉,3,False
34,刘去,汉,3,False
35,傅毅,汉,3,False
36,郦炎,汉,3,False
37,刘邦,汉,2,False
38,赵壹,汉,2,False
39,四皓,汉,2,False
40,韦孟,汉,2,False
41,刘弗陵,汉,2,False
42,韦玄成,汉,2,False
43,侯瑾,汉,2,False
45,班婕妤,汉,1,False
46,王嫱,汉,1,False
47,刘细君,汉,1,False
48,朱穆,汉,1,False
49,宋子侯,汉,1,False
50,李延年,汉,1,False
51,辛延年,汉,1,False
52,项羽,汉,1,False
53,虞姬,汉,1,False
54,汉老,汉,1,False
55,汉臣,汉,1,False
56,戚夫人,汉,1,False
57,刘友,汉,1,False
58,枚乘,汉,1,False
59,刘安,汉,1,False
60,商丘成,汉,1,False
61,华容夫人,汉,1,False
62,李陵,汉,1,False
63,刘胥,汉,1,False
64,杨恽,汉,1,False
65,息夫躬,汉,1,False
66,马援,汉,1,False
67,杜笃,汉,1,False
68,刘苍,汉,1,False
69,刘騊駼,汉,1,False
70,石勋,汉,1,False
71,桓麟,汉,1,False
72,应季先,汉,1,False
73,仇靖,汉,1,False
74,刘辩,汉,1,False
75,唐姬,汉,1,False
76,赵岐,汉,1,False
77,郭苍,汉,1,False
78,高彪,汉,1,False
81,傅玄,晋,130,False
84,阮籍,晋,101,False
85,郭璞,晋,62,False
86,曹丕,晋,60,False
87,张华,晋,58,False
88,嵇康,晋,53,False
89,陆云,晋,50,False
90,应璩,晋,38,False
91,王粲,晋,35,False
92,卢谌,晋,32,False
93,潘尼,晋,32,False
96,刘桢,晋,28,False
97,杨羲,晋,26,False
98,庾阐,晋,24,False
99,曹毗,晋,23,False
100,支遁,晋,22,False
